S NO,NAME,Gender,LANGUAGE_10,ENGLISH_10,MATHS_10,SCIENCE_10,SOCIAL_STUDIES_10,LANGUAGE_12,ENGLISH_12,BUSINESS_MATHS_12,COMMERCE_12,ECONOMICS_12,ACCOUNTANCY_12,CertificationGained_MB,Olympiads Qualified,Technical Projects,STATUS,,,,,,,,,,,,STATUS_CB,STATUS_CA
1,Thanush S,Male,99,87,89,97,98,55,65,66,83,58,65,Commerce,1,1,,,,,,,,,,,,,,
2,Praveen D,Male,90,56,98,68,68,69,64,40,51,66,70,Business Maths,1,4,,,,,,,,,,,,,,
3,Santhosh Kumar S,Male,96,54,97,95,54,62,59,52,45,79,81,Economics,2,2,,,,,,,,,,,,,,
4,Ashok ,Male,97,67,96,89,24,93,49,79,88,56,82,Accountancy,1,1,,,,,,,,,,,,,,
5,Pranesh,Male,98,56,95,65,87,50,95,68,93,72,88,English,2,0,,,,,,,,,,,,,,
6,arun,Male,89,78,94,98,68,91,73,73,95,95,66,Commerce,2,0,,,,,,,,,,,,,,
7,karthi,Male,89,89,92,47,48,82,74,52,75,81,99,Business Maths,2,0,,,,,,,,,,,,,,
8,Venkat,Male,79,56,97,65,67,84,65,74,53,68,58,Accountancy,3,2,,,,,,,,,,,,,,
9,kavin,Male,88,54,68,78,78,74,74,90,92,91,59,Commerce,3,2,,,,,,,,,,,,,,
10,vishnu,Male,75,98,97,98,100,94,54,52,75,74,62,Accountancy,3,2,,,,,,,,,,,,,,
11,madan,Male,76,78,92,68,98,58,85,70,43,93,61,Economics,4,2,,,,,,,,,,,,,,
12,dhanush,Male,79,100,62,58,99,77,94,95,44,93,76,English,6,3,,,,,,,,,,,,,,
13,vijay,Male,99,87,54,79,98,50,73,64,70,78,90,Commerce,5,1,,,,,,,,,,,,,,
14,simbu,Male,99,57,86,97,97,44,88,55,91,81,84,Business Maths,8,4,,,,,,,,,,,,,,
15,agarwal,Male,76,89,32,58,94,95,91,81,79,88,93,Commerce,7,1,,,,,,,,,,,,,,
16,venkat,Male,90,99,96,87,100,42,55,78,85,97,88,Accountancy,4,3,,,,,,,,,,,,,,
17,prabhu,Male,33,99,58,84,96,58,96,45,62,59,99,Economics,1,1,,,,,,,,,,,,,,
18,kathir,Male,37,78,54,86,92,80,73,64,63,83,65,English,1,0,,,,,,,,,,,,,,
19,ragavan,Male,67,56,55,83,93,66,84,50,59,79,56,Accountancy,2,2,,,,,,,,,,,,,,
20,selva,Male,79,76,88,100,91,57,44,90,48,61,88,English,1,0,,,,,,,,,,,,,,
21,tamil,Male,19,46,66,81,97,45,74,71,83,92,48,Economics,6,3,,,,,,,,,,,,,,
22,selvan,Male,89,76,55,98,95,65,83,92,70,48,68,Accountancy,0,0,,,,,,,,,,,,,,
23,Maha,Female,89,75,41,89,97,88,46,79,51,62,90,Business Maths,5,2,,,,,,,,,,,,,,
24,selvi,Female,98,98,89,99,88,54,90,89,56,78,60,Commerce,0,0,,,,,,,,,,,,,,
25,kavitha,Female,65,97,89,88,55,92,92,72,59,55,67,Accountancy,0,0,,,,,,,,,,,,,,
26,jamila,Female,68,96,98,77,75,57,54,49,90,65,89,Economics,1,0,,,,,,,,,,,,,,
27,shivani,Female,98,95,99,55,54,91,86,65,64,79,83,English,4,1,,,,,,,,,,,,,,
28,naveena,Female,98,94,90,44,55,41,40,53,66,61,98,Accountancy,5,3,,,,,,,,,,,,,,
29,sruthika,Female,87,93,99,99,55,95,94,66,88,51,96,English,5,3,,,,,,,,,,,,,,
30,parvatha,Female,95,92,88,88,100,94,77,45,70,91,72,Economics,3,1,,,,,,,,,,,,,,
31,santhi,Female,98,98,87,77,44,45,68,47,63,92,71,Accountancy,4,3,,,,,,,,,,,,,,
32,nikitha,Female,97,95,98,88,22,40,44,40,88,91,95,Business Maths,0,0,,,,,,,,,,,,,,
33,keerthi,Female,98,94,97,77,55,60,86,87,65,65,49,Accountancy,3,2,,,,,,,,,,,,,,
34,abinaya,Female,94,95,97,88,88,78,64,68,60,83,97,Business Maths,5,0,,,,,,,,,,,,,,
35,arunesh,Female,95,95,85,99,90,89,57,48,65,60,92,Accountancy,5,0,,,,,,,,,,,,,,
36,thanya,Female,96,95,75,88,77,41,66,80,96,89,75,Economics,5,0,,,,,,,,,,,,,,
37,sangavi,Female,97,98,74,77,66,40,90,76,81,99,98,English,5,0,,,,,,,,,,,,,,
38,thamana,Female,91,96,75,89,33,59,55,90,89,98,82,Economics,3,2,,,,,,,,,,,,,,
39,thrisha,Female,92,95,75,88,55,91,71,68,68,94,65,Accountancy,3,2,,,,,,,,,,,,,,
40,raveena,Female,93,69,87,89,88,83,89,68,53,68,75,Business Maths,7,4,,,,,,,,,,,,,,
41,manasa,Female,97,65,85,77,99,83,85,65,69,82,71,Accountancy,4,1,,,,,,,,,,,,,,
42,kathrina,Female,95,98,82,88,55,81,76,94,82,48,93,English,4,2,,,,,,,,,,,,,,
43,kailash,Female,87,95,81,78,85,40,55,84,83,85,72,Economics,5,4,,,,,,,,,,,,,,
44,kavya,Female,56,95,84,88,55,80,77,53,69,77,67,Economics,4,3,,,,,,,,,,,,,,
